2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:20:49Z        972        194       1115         43          9         73          0          1          0          0          0         34          0          0          0        143          3         25        158          9          7         13         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:21:49Z        763          3        667        177         22         19          0          0          0          0          0          0          0          0          0        144          1         24        156          9         12         13         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:22:49Z       1207         26        981         69         21         40          0          1          0          0          0         31          0          0          0        157          3         17        171         11         15         18         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:23:49Z        938        110       1066         79         25         79          0          0          0          0          0          0          0          0          0        139          3         10        137         13         18         28         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:24:49Z        816          4        792         59         49         27          0          0          0          0          0          0          0          0          0        150          4         20        133          6         20         17         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:25:49Z        986         45       1036         36         26         49          0          1          0          0          0         44          0          0          0        157          5         21        171          9         20         22         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:26:49Z        822         24       1052         16         23         34          0          0          1          2          0          0         79        121          0        132          6         19        156          5         11         17         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:27:49Z        882          1        966         74         32         43          0          0          1          1          1          0         32         42         29        138          1         18        140         12         19         22         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:28:49Z        810         29        871         70         32         31          0          0          0          0          1          0          0          0        238        130          2         21        144         10         18         17         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:29:49Z        752        107        707         56         38         71          0          0          0          0          0          0          0          0          0        127          6         19        166          9         15         25         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:30:49Z        932         48        800         43         24         53          0          1          0          0          0         55          0          0          0        162          4         20        147         11         15         21         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:31:49Z       1314         22       1233        538         32         40          1          3          2          0          1        117        217          0        157        140          3         14        159         12         17         20         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:32:49Z        701         81       1054         59         27         48          0          1          0          0          0         68          0          0          0        123          6         22        118          9         19         22         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:33:49Z        739        158        870         46         37         20          0          0          1          0          0          0         34          0          0        121          5         15        140         11         21         11         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:34:49Z        824         47        904        115         33         35          1          0          0          0          0          0          0          0          0        140          9         10        147         11         18         15         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:35:49Z       1023         36        993        108         46         41          0          0          0          0          0          0          0          0          0        143          6         24        129         14         18         15         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:36:49Z        758        274       1116         33         75         83          0          0          0          0          0          0          0          0          0        132          6         27        158          5         20         24         139
2024-04-24T00:10:49.042549Z 1/256012611:52429 2024-04-23T23:37:49Z        967        145        993         89         23         58          0          0          0          0          0          0          0          0          0        141          3         23        159         14         14         22         139
