TIME_UTC,TIME_OBT,AOCS_ANGULAR_RATE_X,AOCS_ANGULAR_RATE_Y,AOCS_ANGULAR_RATE_Z
2024-10-22T10:04:37.373Z,1/0794311475:01748,+2.066777025459635e-06,+1.953000424471800e-06,+3.770963526372653e-06
2024-10-22T10:04:47.373Z,1/0794311485:01746,+2.066672810678318e-06,+2.017615379564565e-07,+2.021701904527595e-06
2024-10-22T10:04:57.373Z,1/0794311495:01748,+3.159940246350855e-07,+2.006628346161783e-07,+2.763238363345371e-07
2024-10-22T10:05:07.373Z,1/0794311505:01742,+3.154690673679447e-07,+2.000435588382331e-07,+2.757752959035161e-07
2024-10-22T10:05:17.373Z,1/0794311515:01747,+3.153667974789895e-07,+1.994136410098337e-07,+2.754237354855961e-07
2024-10-22T10:05:27.373Z,1/0794311525:01745,+3.155769142826869e-07,+1.996776729503694e-07,+2.751753369136749e-07
2024-10-22T10:05:37.373Z,1/0794311535:01747,-1.300252335816508e-06,+2.026560876050883e-07,+1.890983086223302e-06
2024-10-22T10:05:47.373Z,1/0794311545:01741,+3.157573359023557e-07,+1.997603387197601e-07,+2.752935789629502e-07
2024-10-22T10:05:57.373Z,1/0794311555:01747,+3.152076211255919e-07,+1.815443571289612e-06,+1.889113145323068e-06
2024-10-22T10:06:07.373Z,1/0794311565:01751,+3.157386457221023e-07,+1.988133229351986e-07,+2.746802962367292e-07
2024-10-22T10:06:17.373Z,1/0794311575:01747,+3.150056014202593e-07,+1.988437210089661e-07,+2.746129433684291e-07
2024-10-22T10:06:27.373Z,1/0794311585:01750,+1.931894445263380e-06,+1.999221074646952e-07,+1.885676180352731e-06
2024-10-22T10:06:37.373Z,1/0794311595:01747,+3.546670286045549e-06,+1.969394234493145e-07,+2.701503834629691e-07
2024-10-22T10:06:47.373Z,1/0794311605:01749,-3.186413057939252e-06,+1.946419119637221e-06,-1.469041166763025e-06
2024-10-22T10:06:57.373Z,1/0794311615:01746,+2.066113985931233e-06,+1.951157102880860e-06,+3.768495176821447e-06
2024-10-22T10:07:07.373Z,1/0794311625:01745,-1.436769375615891e-06,+1.930053116241132e-07,-4.967904501684694e-06
2024-10-22T10:07:17.373Z,1/0794311635:01746,+3.164212606019956e-07,+2.029750464621656e-07,+3.769902390190738e-06
2024-10-22T10:07:27.373Z,1/0794311645:01744,+2.067089351719353e-06,+2.003091765082576e-07,+2.021254943658561e-06
2024-10-22T10:07:37.373Z,1/0794311655:01745,+3.150478729600115e-07,+1.987479275087022e-07,+2.742292645075614e-07
2024-10-22T10:07:47.373Z,1/0794311665:01747,-1.436318711051754e-06,+2.015882215773334e-07,+2.025440726439641e-06
2024-10-22T10:07:57.373Z,1/0794311675:01744,+3.152086516317260e-07,+1.982529836023286e-07,+2.744460960339380e-07
2024-10-22T10:08:07.373Z,1/0794311685:01747,+3.152126113306157e-07,+1.988325352855516e-07,+2.743341920832102e-07
2024-10-22T10:08:17.373Z,1/0794311695:01750,+3.151418199936204e-07,+1.983810005144148e-07,+2.742256257340999e-07
2024-10-22T10:08:27.373Z,1/0794311705:01745,-1.301826086950341e-06,+1.977447998356148e-07,-1.337940534844747e-06
2024-10-22T10:08:37.373Z,1/0794311715:01748,+3.142637376652959e-07,+1.810954175446565e-06,-1.339041028225731e-06
2024-10-22T10:08:47.373Z,1/0794311725:01747,-2.915845673999889e-06,+2.002611114227676e-07,+2.783940729068206e-07
2024-10-22T10:08:57.373Z,1/0794311735:01749,-1.300483185150705e-06,+1.971174139880712e-07,-1.337454665510733e-06
2024-10-22T10:09:07.373Z,1/0794311745:01745,+1.931262164917377e-06,+1.816021482510481e-06,+3.500076658889854e-06
2024-10-22T10:09:17.373Z,1/0794311755:01748,-2.917434715148573e-06,+1.812594491002223e-06,-1.334131602114890e-06
2024-10-22T10:09:27.373Z,1/0794311765:01745,+2.067318945164521e-06,+2.041193081643131e-07,+5.516490078479850e-06
2024-10-22T10:09:37.373Z,1/0794311775:01746,+2.067660478917316e-06,+2.045935037573986e-07,+5.516854887613918e-06
2024-10-22T10:09:47.373Z,1/0794311785:01743,-1.436677205477447e-06,+1.948897833062088e-06,+2.774056686519793e-07
2024-10-22T10:09:57.373Z,1/0794311795:01743,+3.152358139664740e-07,+1.981982092791202e-07,+2.744174197932043e-07
2024-10-22T10:10:07.373Z,1/0794311805:01750,+3.154138569463514e-07,+1.986481067866503e-07,+2.749174278087194e-07
2024-10-22T10:10:17.373Z,1/0794311815:01745,-1.435803315311001e-06,+1.969286817556344e-07,-1.471304077911872e-06
2024-10-22T10:10:27.373Z,1/0794311825:01749,+3.152676251067753e-07,+1.987003903201071e-07,+2.749081236423931e-07
2024-10-22T10:10:37.373Z,1/0794311835:01746,-1.436897862337639e-06,+1.944311279348625e-06,-3.218500070127216e-06
2024-10-22T10:10:47.373Z,1/0794311845:01746,+3.139137120025636e-07,+1.951241209392899e-07,-2.951984002846345e-06
2024-10-22T10:10:57.373Z,1/0794311855:01745,+1.931250463844794e-06,+1.816602679941468e-06,+3.501223074125598e-06
2024-10-22T10:11:07.373Z,1/0794311865:01745,+3.149578166731371e-07,+1.986913537902363e-07,+2.747121428612462e-07
2024-10-22T10:11:17.373Z,1/0794311875:01744,+3.154303830096770e-07,+1.994386551457260e-07,+2.751661370557947e-07
2024-10-22T10:11:27.373Z,1/0794311885:01748,+3.149591647077962e-07,+1.988542705603912e-07,+2.753959587723659e-07
2024-10-22T10:11:37.373Z,1/0794311895:01750,-1.301718681035193e-06,+1.818692038832046e-06,+3.506713057777641e-06
2024-10-22T10:11:47.373Z,1/0794311905:01746,+3.150841783147865e-07,-1.416932051582208e-06,-1.338866830953743e-06
2024-10-22T10:11:57.373Z,1/0794311915:01751,-1.300822310015664e-06,+2.022086070261868e-07,+1.891827647051825e-06
2024-10-22T10:12:07.373Z,1/0794311925:01745,-1.435843052742000e-06,+1.981759820223367e-07,-1.469818265855586e-06
2024-10-22T10:12:17.373Z,1/0794311935:01751,-1.435794489146240e-06,+1.948925406494071e-06,+2.787513784445215e-07
2024-10-22T10:12:27.373Z,1/0794311945:01744,+2.066128817071152e-06,+2.009795654145864e-07,+2.021563074792655e-06
2024-10-22T10:12:37.373Z,1/0794311955:01747,-1.435595658600529e-06,-1.552622582397506e-06,-3.218582653900071e-06
2024-10-22T10:12:47.373Z,1/0794311965:01746,+2.065938841895118e-06,+2.003531068779028e-07,+2.021248223642972e-06
2024-10-22T10:12:57.373Z,1/0794311975:01751,+3.153651523761272e-07,+1.991398212785828e-07,+2.759832373613856e-07
2024-10-22T10:13:07.373Z,1/0794311985:01742,+3.156950465983461e-07,+1.991719572677037e-07,+2.761146954773773e-07
2024-10-22T10:13:17.373Z,1/0794311995:01747,+3.159783806173738e-07,+1.989310989749976e-07,+2.758255694653284e-07
2024-10-22T10:13:27.373Z,1/0794312005:01744,+3.159122117273343e-07,+1.991405998711093e-07,+2.763198018267211e-07
2024-10-22T10:13:37.373Z,1/0794312015:01746,-1.300257210921918e-06,+1.977817923597796e-07,-1.335180633733350e-06
2024-10-22T10:13:47.373Z,1/0794312025:01743,-1.300806589237294e-06,+1.980542288646036e-07,-1.336315840293285e-06
2024-10-22T10:13:57.373Z,1/0794312035:01744,-2.916008671699229e-06,+1.965667509230626e-07,-2.947074212528963e-06
2024-10-22T10:14:07.373Z,1/0794312045:01752,+3.160011992785975e-07,+1.988407151727115e-07,+2.757855310356019e-07
2024-10-22T10:14:17.373Z,1/0794312055:01745,+1.932064268206231e-06,+1.999568416415157e-07,+1.887864342009868e-06
2024-10-22T10:14:27.373Z,1/0794312065:01747,+1.932395881301504e-06,-1.415669612586308e-06,+2.736504318668662e-07
2024-10-22T10:14:37.373Z,1/0794312075:01747,-1.300429819366300e-06,+3.429941748871188e-06,+1.892969368245087e-06
2024-10-22T10:14:47.373Z,1/0794312085:01747,-1.298497841715148e-06,+2.020820389559795e-07,+1.891256931075135e-06
2024-10-22T10:14:57.373Z,1/0794312095:01746,-1.434570149777195e-06,+1.976386203728641e-07,-1.469534491623262e-06
2024-10-22T10:15:07.373Z,1/0794312105:01745,+3.164490254520753e-07,+1.949920572193543e-06,+2.024887125322973e-06
2024-10-22T10:15:17.373Z,1/0794312115:01744,+3.157273031882296e-07,+1.942521720704171e-07,-3.220099487458045e-06
2024-10-22T10:15:27.373Z,1/0794312125:01747,-1.434200019424927e-06,+1.971156979635500e-07,-1.469862471392965e-06
2024-10-22T10:15:37.373Z,1/0794312135:01744,+3.154204126792448e-07,+1.935266763193966e-07,-3.222415206011334e-06
2024-10-22T10:15:47.373Z,1/0794312145:01746,+3.155746150285657e-07,+1.937095363009696e-07,-3.220204335758047e-06
2024-10-22T10:15:57.373Z,1/0794312155:01744,+3.160981366910137e-07,+1.974803702805788e-07,+2.755983783307746e-07
2024-10-22T10:16:07.373Z,1/0794312165:01745,-1.433830928970647e-06,+1.952039802331181e-06,+3.775029418060767e-06
2024-10-22T10:16:17.373Z,1/0794312175:01748,+3.165992317069813e-07,-1.418206760569948e-06,-1.338871614690540e-06
2024-10-22T10:16:27.373Z,1/0794312185:01741,+3.160881092302932e-07,+1.978376373993660e-07,+2.753713316420034e-07
2024-10-22T10:16:37.373Z,1/0794312195:01753,+3.157386871817916e-07,+1.982495086930045e-07,+2.757942875687753e-07
2024-10-22T10:16:47.373Z,1/0794312205:01743,+1.932291061735697e-06,+1.989890491050406e-07,+1.887194674751411e-06
2024-10-22T10:16:57.373Z,1/0794312215:01747,+3.159155022311889e-07,+1.977912144601448e-07,+2.758644399129797e-07
2024-10-22T10:17:07.373Z,1/0794312225:01744,+3.171199182868477e-07,+2.019378022872818e-07,+3.503264953784703e-06
2024-10-22T10:17:17.373Z,1/0794312235:01744,+3.548466778588517e-06,+2.002542907987268e-07,+3.498763268843340e-06
2024-10-22T10:17:27.373Z,1/0794312245:01745,-1.299175438448196e-06,+3.432537787121837e-06,+5.120056385176693e-06
2024-10-22T10:17:37.373Z,1/0794312255:01750,-3.183367306632588e-06,+1.954804393191365e-06,+5.525278325206600e-06
2024-10-22T10:17:47.373Z,1/0794312265:01744,+3.819426040755451e-06,+1.948308968186843e-06,+2.020955770581155e-06
2024-10-22T10:17:57.373Z,1/0794312275:01745,+3.819319681929720e-06,-1.545594067373344e-06,+5.514802909860959e-06
2024-10-22T10:18:07.373Z,1/0794312285:01751,+3.153670106904772e-07,+3.694938723235245e-06,+2.776569218701824e-07
2024-10-22T10:18:17.373Z,1/0794312295:01747,-4.932636316484165e-06,-1.544132312670222e-06,+3.778572627256095e-06
